Text_ID,English,French,German,Spanish,Italian,Portuguese,Japanese,Korean,Chinese_Simplified,Chinese_Traditional,Thai
BloodDefault,Default,Défaut,Standard,Por defecto,Predefinito,Padrão,デフォルト,기본,默认,預設,ค่าเริ่มต้น
BloodExtreme,Extreme,Extrême,Extrem,Extremo,Estremo,Extremo,過激,극심한,极端,極端,สุดขีด
BloodHigh,High,Haut,Hoch,Alto,Alto,Alto,高い,높은,高的,高的,สูง
BloodLow,Low,Faible,Niedrig,Bajo,Basso,Baixo,低い,낮은,低的,低的,ต่ำ
BloodVeryLow,Very Low,Très faible,Sehr niedrig,Muy bajo,Molto basso,Muito baixo,非常に低い,매우 낮음,非常低,非常低,ต่ำมาก
CategoryAdvanced,Advanced,Avancé,Fortschrittlich,Avanzado,Avanzato,Avançado,高度な,고급의,先进的,先進的,ขั้นสูง
CategoryDamageTypeMultipliers,Damage Type Multipliers,Multiplicateurs de type de dégâts,Schadensarten-Multiplikatoren,Multiplicadores de tipo de daño,Moltiplicatori di tipo di danno,Multiplicadores de Tipo de Dano,ダメージタイプの乗数,피해 유형 배율,伤害类型倍率,傷害類型倍率,ตัวคูณประเภทความเสียหาย
CategoryPresetSelection,Preset Selection,Sélection prédéfinie,Voreingestellte Auswahl,Selección de ajustes preestablecidos,Selezione preimpostata,Seleção predefinida,プリセット選択,사전 설정 선택,预设选择,預設選擇,การเลือกค่าที่ตั้งไว้ล่วงหน้า
CategoryZoneArm,Arm,Bras,Arm,Brazo,Braccio,Braço,アーム,팔,手臂,手臂,แขน
CategoryZoneDismemberment,Dismemberment,Démembrement,Zerstückelung,Desmembramiento,Smembramento,Desmembramento,切断,절단,肢解,肢解,การแยกชิ้นส่วน
CategoryZoneHead,Head,Tête,Kopf,Cabeza,Testa,Cabeça,頭,머리,头,頭,ศีรษะ
CategoryZoneLeg,Leg,Jambe,Bein,Pierna,Gamba,Perna,脚,다리,腿,腿,ขา
CategoryZoneNeck,Neck,Cou,Nacken,Cuello,Collo,Pescoço,ネック,목,脖子,脖子,คอ
CategoryZoneThroat,Throat,Gorge,Kehle,Garganta,Gola,Garganta,喉,목,喉,喉,คอ
CategoryZoneToggles,Zone Toggles,Bascules de zone,Zonenumschalter,Alternancias de zona,Attiva/disattiva zona,Alternâncias de zona,ゾーントグル,구역 토글,区域切换,區域切換,สลับโซน
CategoryZoneTorso,Torso,Torse,Torso,Torso,Torso,Torso,胴体,몸통,躯干,軀幹,ลำตัว
ChanceAlways,Always,Toujours,Stets,Siempre,Sempre,Sempre,いつも,언제나,总是,總是,เสมอ
ChanceDefault,Default,Défaut,Standard,Por defecto,Predefinito,Padrão,デフォルト,기본,默认,預設,ค่าเริ่มต้น
ChanceFrequent,Frequent,Fréquent,Häufig,Frecuente,Frequente,Freqüente,頻繁,잦은,频繁,頻繁,บ่อย
ChanceOff,Off,Désactivé,Aus,Apagado,Spento,Desligado,オフ,끄다,离开,離開,ปิด
ChanceRare,Rare,Rare,Selten,Extraño,Raro,Cru,レア,희귀한,稀有的,稀有的,หายาก
DamageDefault,Default,Défaut,Standard,Por defecto,Predefinito,Padrão,デフォルト,기본,默认,預設,ค่าเริ่มต้น
DamageExtreme,Extreme,Extrême,Extrem,Extremo,Estremo,Extremo,過激,극심한,极端,極端,สุดขีด
DamageHigh,High,Haut,Hoch,Alto,Alto,Alto,高い,높은,高的,高的,สูง
DamageLow,Low,Faible,Niedrig,Bajo,Basso,Baixo,低い,낮은,低的,低的,ต่ำ
DamageMinimal,Minimal,Minimal,Minimal,Mínimo,Minimo,Mínimo,最小限,최소,极简主义,極簡主義,น้อยที่สุด
DurationDefault,Default,Défaut,Standard,Por defecto,Predefinito,Padrão,デフォルト,기본,默认,預設,ค่าเริ่มต้น
DurationExtended,Extended,Étendu,Erweitert,Extendido,Esteso,Estendido,拡張,펼친,扩展,擴充,ขยาย
DurationLong,Long,Long,Lang,Largo,Lungo,Longo,長さ,긴,长的,長的,ยาว
DurationShort,Short,Court,Kurz,Corto,Corto,Curto,短い,짧은,短的,短的,สั้น
DurationVeryShort,Very Short,Très court,Sehr kurz,Muy corto,Molto breve,Muito curto,非常に短い,아주 짧은,非常短,非常短,สั้นมาก
FrequencyDefault,Default,Défaut,Standard,Por defecto,Predefinito,Padrão,デフォルト,기본,默认,預設,ค่าเริ่มต้น
FrequencyFast,Fast,Rapide,Schnell,Rápido,Veloce,Rápido,速い,빠른,快速地,快速地,เร็ว
FrequencyRapid,Rapid,Rapide,Schnell,Rápido,Rapid,Rápido,急速な,빠른,迅速的,迅速的,รวดเร็ว
FrequencySlow,Slow,Lent,Langsam,Lento,Lento,Lento,遅い,느린,慢的,慢的,ช้า
FrequencyVerySlow,Very Slow,Très lent,Sehr langsam,Muy lento,Molto lento,Muito lento,非常に遅い,매우 느림,非常慢,非常慢,ช้ามาก
